id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1341423911762800651,George Enis,London,"Civil servant/Human Right? of course yes/ Speaks languages as much I can and Creative. 💙 And Go Pro!
https://t.co/L3qgvrwECY",2010-01-19 01:37:56,196,476,2548,False,2020-12-22 16:42:37,Can #AnthonyFauci  convince people to trust the? 🤔🤔🤔🤔Let's talk about it. #vaccines #BioNTech #Pfizer… https://t.co/arszt4IQcG,"['AnthonyFauci', 'vaccines', 'BioNTech', 'Pfizer']",Twitter Web App,0,0,False
1339936961197465600,Allie,"Atlanta, GA",Hospitalist. Mostly cranky. Laughing both with & at you. #bluewave. Opinions are my own blah blah don’t reflect those of my employer yadda yadda.,2015-07-29 19:21:57,115,1210,3188,False,2020-12-18 14:14:01,First dose of the #COVID19 #PfizerBioNTech vaccine is in my arm! 2nd dose in 3 weeks! #hospitalist… https://t.co/tuiOSJVjlg,"['COVID19', 'PfizerBioNTech', 'hospitalist']",Twitter for iPhone,0,0,False
1354034113506734080,Azul Cruz,#Outlander ,,2012-05-16 22:09:08,28,166,4650,False,2021-01-26 11:51:04,@GavinNewsom In under 12  months #PfizerBioNTech &amp; #Moderna have created a #CovidVaccine &amp; inoculation is currently… https://t.co/3Sf6C3laxw,"['PfizerBioNTech', 'Moderna', 'CovidVaccine']",Twitter for Android,0,1,False
1355463013575380992,D B,,Annoyed,2020-12-22 15:19:59,0,12,6,False,2021-01-30 10:29:00,"@vonderleyen if evil had a face it would resemble yours.
#COVID19 #vaccine #virus #eu #EuropeanUnion… https://t.co/PXhiD6T2oU","['COVID19', 'vaccine', 'virus', 'eu', 'EuropeanUnion']",Twitter for Android,0,0,False
1347585225979801602,Georgina Belenguer Ribera,Dakar-Valencia,Psicoterapia Socioterapia Arteterapia Risoterapia Traducción profesional {Spanish/English/German},2020-04-11 01:39:14,388,1215,5610,False,2021-01-08 16:45:29,"Dearest American Friends,

#NO 2 #tRumpVACCINE
#PfizerBioNTech
#rabies #RABIAclínica.:
#ENCEFALOMIELOSIS
#NOcure &lt;=… https://t.co/XuqMX1IfYz","['NO', 'tRumpVACCINE', 'PfizerBioNTech', 'rabies', 'RABIAclínica', 'ENCEFALOMIELOSIS', 'NOcure']",Twitter for Android,0,0,False
1350035681075105792,MEDIA INDIA GROUP,,"The World's Window to India -We don’t do news, we analyse & bring topics often left out by the Indian media. #Publisher #IndianMagazines #MediaIndiaGroup #MIG",2015-01-02 08:51:32,1478,239,2019,False,2021-01-15 11:02:43,#NORWAY warns #COVID19 vaccines may be too risky for very old &amp; terminally sick as 23 people die shortly after thei… https://t.co/wCwzEpKUlY,"['NORWAY', 'COVID19']",Twitter Web App,5,4,False
1394949990896869378,Sharon Santone,Italia,•🇮🇹/🇦🇷 •Geologist •Carbonate sedimentologist •Innovation & technology •Outdoor activities •GlutenFree •🎹🎤🎶 ᴘᴏsɪᴛɪᴠᴇ ᴠɪʙᴇs,2021-01-19 09:16:58,44,266,316,False,2021-05-19 09:36:09,It’s a beautiful day to save the WORLD ❤️ 1/2💪🏻🤩 💉🦠 #pfizer #pfizerbiontech #pfizervacine #fuckcovid #vaccino… https://t.co/yNrAFjqtdJ,"['pfizer', 'pfizerbiontech', 'pfizervacine', 'fuckcovid', 'vaccino']",Twitter for iPhone,0,1,False
1350593808174485504,ActivistBowen,Hong Kong,"person, web writer, dissident, son, brother, friend; NOT a 1-man show; RTs = IMPORTANCE, NOT NECESSARILY ENDORSEMENTS; REASONABLENESS over loyalty",2011-06-08 20:17:01,3776,4999,4783,False,2021-01-17 00:00:31,"death toll INCREASES to 29: hashtag TWO... (January 16, 2021; 23:32 HKT) #PFIZERBIONTECH #NORWAY","['PFIZERBIONTECH', 'NORWAY']",Twitter Web App,0,0,False
1348017867082625026,"Nataniel Lester-Coll, MD","Vermont, USA",MD @PennMedicine • #RadOnc @YaleMed ➡️ @UVMMedCenter @UVMLarnerMed • GU and thoracic cancers • Assoc editor #AdvancesRO #OncoAlert 🚨• Married @candaspinar,2014-01-14 21:31:32,3634,1689,21330,True,2021-01-09 21:24:39,"@IHaveSinus Same here with my #PfizerBioNTech 2nd dose 

Sore arm was my only side effect and it lasted about a day",['PfizerBioNTech'],Twitter for iPhone,0,1,False
1343163164377174019,Waleed ﮼حَمُّور,"Doha, Qatar",a frontliner ...,2010-01-06 09:16:41,448,1870,1127,False,2020-12-27 11:53:47,One shot at a time ... 💉 #PfizerBioNTech https://t.co/AUFj2lWJIW,['PfizerBioNTech'],Twitter for iPhone,1,12,False
1339501739901390848,Susan A Sangster,England. UK,"Passionate about NHS, SPORTS, EDUCATION, COMMUNITY, CHARITY,  Manager/Model/Host/. Enjoys cinema, art, drawing, music, cooking, people, museums & events.",2010-02-07 15:15:04,537,2374,1535,False,2020-12-17 09:24:36,"@10DowningStreet Well Done to those people who volunteered. We no longer use mice, rats or 🐒 monkeys. #vaccine… https://t.co/MOevyzexdE",['vaccine'],Twitter Web App,0,1,False
1354801512938016776,Pedd Raam Art,🇩🇰🇬🇱🇬🇧🇺🇸🇳🇴🇸🇪🦁🌞🌊,"Dr Pedram Kazemi, Arctic Maritime Trauma Surgeon; 
Living Sovereign People's Libertarian Cooperative Tradeunionist; Privat-läkare Book.0722516646
Stockholm 🇸🇪",2020-06-18 21:36:22,574,5002,5573,False,2021-01-28 14:40:26,"""Superspread"" this #whistleblower alarm &amp; make his witness account &amp; indictment of #PfizerBioNTech Gates Fauci Zykl… https://t.co/FVYS8qdezc","['whistleblower', 'PfizerBioNTech']",Twitter Web App,1,0,False
1363732143722045446,Happy-TV,Singapore,https://t.co/PMbejoFhww is an online network producing original local content that focuses on the appealing aspects of Singapore life and identity.,2013-07-18 03:12:29,49,62,4,False,2021-02-22 06:07:34,Get the facts on the vaccines on this episode of Street Talk - https://t.co/oyUiAKSPOK  #CovidVaccinesideeffects… https://t.co/TH2uB3UfZt,['CovidVaccinesideeffects'],Twitter Web App,0,1,False
1345323684035178497,Sue Reeve ♥️🧡💛💚💙💜🇪🇺🇪🇺🏳️‍🌈🏳️‍🌈,Glasgow environs.,"Londoner now living in Glasgow suburbs via The Cotswolds & Manchester. Likes news & current affairs, local produce, cricket, cats. Rebellious Catholic. I❤️Mcr",2010-12-28 19:17:39,1391,2204,57707,False,2021-01-02 10:58:55,@LcdViews @MichaelLCrick A friend who has come out of retirement to give #CovidVaccine reports the change in timing… https://t.co/D7194hZdc6,['CovidVaccine'],Twitter for Android,0,5,False
1404454948134293515,Akanksha Ojha,,"Dharma Vedanta Mimamsa follower/
Corp & Investment Banker/
Part time Scribbler",2014-09-12 01:15:08,587,445,9081,False,2021-06-14 15:05:27,"it shows an overall efficacy of 90.4% &amp; 100% efficacy against moderate or severe disease, on par with the vaccines… https://t.co/7kvcYYbEj4",,Twitter for Android,0,0,False
1345578864123269120,Marc Siegel MD,,"@FoxNews Med contributor, Professor Medicine @nyulangone, nothing opinion of employer, Medical Director NYUDoctorRadio @SiriusXm https://t.co/E9GVSZXKKT",2010-06-01 21:30:29,33767,541,10378,False,2021-01-03 03:52:55,Dr. Marc Siegel: COVID vaccinations will increase rapidly — greatest accomplishment in vaccine history | Fox News ⁦… https://t.co/sluyL7hqvu,,Twitter for iPhone,11,43,False
1436386222881001477,OCP&E,USA,"Odor Control Products and Equipment (OCP&E) provides a complete line of odor control chemicals as well as ulv cold foggers, electrostatic sprayers, and more!",2011-06-29 23:46:23,5,2,0,False,2021-09-10 17:48:56,"OCP&amp;E offers ulv cold foggers, electrostatic sprayers, and EPA List N disinfectants. Click to the link to purchase… https://t.co/PPCIAn4pvT",,Twitter Web App,0,0,False
1367202133695631362,Just A Buffalo In Skyrim,"Washington, USA","BLM, He/Him, DM, Davesh from @GalaxyGreatest, Elsecaller, Earth Sci Teacher, “I said I wanted to live when the history happened but this isn’t what I meant.” Me",2013-08-14 05:38:14,185,728,13799,False,2021-03-03 19:56:04,Thanks @POTUS and @GovInslee for moving up the priority for #Teachers and other #Education workers for the #COVID19… https://t.co/G1eb97PDRq,"['Teachers', 'Education', 'COVID19']",Twitter for iPhone,0,3,False
1352375272163729409,Upstract News,,The whole Internet on a single page,2014-03-05 15:12:33,1745,1,8,False,2021-01-21 21:59:25,LIVE: Dr. Fauci speaks about coronavirus at White House press briefing #pfizerbiontech #newsclevelandexclusive… https://t.co/OSKXQM9e6M,"['pfizerbiontech', 'newsclevelandexclusive']",News Users,0,0,False
1345443330625253377,Canadian Advocacy Centre 4 Health Safety & Justice,Canada ,#CACHSJ advocates for #civilrights #humanrights #digital #information & #privacyrights; #healthsovereignty  #mentalhealth rights; #workerrights #employmentlaw,2020-09-10 19:03:53,591,1997,681,False,2021-01-02 18:54:21,7-#COVIDVaccine trial participants have died from both #PfizerBioNTech &amp; #Moderna vaccines. No information about th… https://t.co/VTPmYJ0CSj,"['COVIDVaccine', 'PfizerBioNTech', 'Moderna']",Twitter Web App,0,0,False
1372179950837628928,Rob Smith,"Glossop, Derbyshire","Lifestyle, Mindset, Fashion & Travel  🎙 Podcast: @rebuildwithrob  📺 Show: @laterwithrob  💻 Brand: @rbldwear  👊 Online Coach: @therebuildcoach",2013-03-21 17:01:46,28702,27260,2230,False,2021-03-17 13:36:08,So the United Kingdom purchases vaccines from #OxfordAstraZeneca #PfizerBioNTech or any other and the European Unio… https://t.co/UWSaksnF6U,"['OxfordAstraZeneca', 'PfizerBioNTech']",Twitter for iPhone,0,0,False
1343331698034012160,Carlos Ribeiro,"Lissabon, Portugal",Neuroscientist at Champalimaud Research working on #food #brain #decisions #microbiome using #Drosophila. PI @RibeiroLab and Secretary General Elect @FENSorg,2011-12-05 16:28:36,4758,2616,13332,False,2020-12-27 23:03:29,Discussing with a friend about the #PfizerBioNTech #CovidVaccine : Which human cells express the spike antigen? All… https://t.co/btG7GQ5QF1,"['PfizerBioNTech', 'CovidVaccine']",TweetDeck,1,12,False
1339380086559174658,Dr.Krutika Kuppalli,,"ID, Global Health, VHF, Pandemic Prep, Emerging Infections, & Health Policy MD| U.S. Congress COVID-19 expert witness x 2 | ELBI 2020 @JHSPH_CHS",2019-03-25 04:14:29,22265,593,7876,True,2020-12-17 01:21:11,Lots of rumors going around about the #PfizerBioNTech #CovidVaccine and how they affect women of childbearing age-s… https://t.co/MrNsILUtfo,"['PfizerBioNTech', 'CovidVaccine']",Twitter for iPhone,5,15,False
1436105748245893122,Henriette (GETTR = @Henriette_Nette) 😊UNGEIMPFT,Wahlheimat: Eifel,💥FINGER WEG VON UNSEREN KINDERN ⭐️Kämpfe für die Zukunft meiner Kinder und Enkel,2017-01-10 17:45:55,6610,7212,48322,False,2021-09-09 23:14:26,"😢15 Jahre - California - #PfizerBioNTech #Biontech 

https://t.co/5CqzOp9xHz

#Kinderimpfung #Impfung #Impftote #Impfnebenwirkungen","['PfizerBioNTech', 'Biontech', 'Kinderimpfung', 'Impfung', 'Impftote', 'Impfnebenwirkungen']",Twitter for iPhone,0,1,False
1353641260037382149,Britney Jones,,,2016-06-12 18:18:45,20,112,113,False,2021-01-25 09:50:00,@MattHancock @Keir_Starmer @BorisJohnson Pfizer vaccine second dose should be given out after 3 weeks! Stop messing… https://t.co/XFxPCC0cMm,,Twitter for iPhone,0,1,False
1374676484263055371,FiestyQgrl /CrossTheRubicon,KekvilleUSA,"#MAGA2020
Text TRUMP to 88022",2018-10-22 17:11:15,846,999,39223,False,2021-03-24 10:56:28,"Hong Kong halts use of #PfizerBioNTech  vaccine as authorities investigate defective packaging

https://t.co/1SZTYkwEXh",['PfizerBioNTech'],Twitter for Android,0,0,False
1440903515199578112,National Herald,"New Delhi, India","National Herald—founded in 1938 by Jawaharlal Nehru—is a news website and weekly newspaper with a focus on people, governance and current affairs",2014-06-27 05:46:24,108436,327,359,True,2021-09-23 04:59:03,"#US FDA gives nods to booster dose for high-risk adults 
#PfizerBioNTech #COVID19Vaccine 
https://t.co/TpxAetlJVl","['US', 'PfizerBioNTech', 'COVID19Vaccine']",TweetDeck,0,6,False
1420515374148116485,MalaysiaShorts,Malaysia,Malaysia-based News in shorts is a page which brings you the latest and the most important news in JUST 60  WORDS.,2020-04-08 06:28:47,96,11,6,False,2021-07-28 22:43:51,"#KhairyJamaluddin explained the reason as to why #PfizerBioNTech gave preference to Singapore.

Follow #MyShorts,… https://t.co/CC7P3tk8Y4","['KhairyJamaluddin', 'PfizerBioNTech', 'MyShorts']",Twitter Web App,0,0,False
1363064962969726976,Ornella Punzo,"Roma, Italia",Sceptical Doctor²|@ITMantwerp|MScPH @LSHTM_Alumni|PhD @Unicatt|Researcher @istsupsan(Italian NIH)|migration-inequalities-human rights&human beings|views my own,2011-12-04 22:03:55,1448,1556,7392,False,2021-02-20 09:56:26,Great news! Now let's scale up production worldwide! BioNTech/Pfizer Covid vaccine no longer needs ultra-cold stora… https://t.co/ZSZc90RPYk,,Twitter Web App,0,0,False
